13:59:32;Tu=75.19;Tm=76.88;Td=77.44;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.71
14:00:02;Tu=75.19;Tm=76.88;Td=77.44;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.70
14:00:31;Tu=75.13;Tm=76.88;Td=77.44;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.70
14:01:01;Tu=75.13;Tm=76.88;Td=77.44;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.71
14:01:32;Tu=75.13;Tm=76.81;Td=77.44;Tc=0.00;Tdif=76.81;Tj=0.00;To=0.00;Tj=761.71
14:02:02;Tu=75.19;Tm=76.88;Td=77.44;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.71
14:02:32;Tu=75.19;Tm=76.88;Td=77.44;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.71
14:03:01;Tu=75.19;Tm=76.88;Td=77.44;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.70
14:03:33;Tu=75.19;Tm=76.88;Td=77.44;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.70
14:04:03;Tu=75.19;Tm=76.88;Td=77.44;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.70
14:04:33;Tu=75.13;Tm=76.88;Td=77.44;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.71
14:05:02;Tu=75.19;Tm=76.88;Td=77.44;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.71
14:05:32;Tu=75.19;Tm=76.88;Td=77.44;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.71
14:06:03;Tu=75.19;Tm=76.88;Td=77.44;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.71
14:06:33;Tu=75.19;Tm=76.88;Td=77.44;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.71
14:07:03;Tu=75.19;Tm=76.88;Td=77.44;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.71
14:07:32;Tu=75.19;Tm=76.88;Td=77.44;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.71
14:08:02;Tu=75.19;Tm=76.88;Td=77.44;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.71
14:08:33;Tu=75.25;Tm=76.88;Td=77.44;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.71
14:09:02;Tu=75.25;Tm=76.88;Td=77.44;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.71
14:09:32;Tu=75.25;Tm=76.88;Td=77.44;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.70
14:10:03;Tu=75.31;Tm=76.88;Td=77.44;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.70
14:10:33;Tu=75.38;Tm=76.88;Td=77.44;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.70
14:11:03;Tu=75.38;Tm=76.88;Td=77.44;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.70
14:11:32;Tu=75.38;Tm=76.94;Td=77.44;Tc=0.00;Tdif=76.94;Tj=0.00;To=0.00;Tj=761.69
14:12:02;Tu=75.38;Tm=76.88;Td=77.38;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.69
14:12:33;Tu=75.38;Tm=76.88;Td=77.38;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.68
14:13:03;Tu=75.31;Tm=76.88;Td=77.38;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.68
